Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
06/01/2021,22,US,"1,211,672","307,495,049","930,889","518,000","173,130,215","437,147",Admin,"1,211,672","930,889","750,860","142,414,547","542,379"
06/01/2021,22,US,"512,915","296,404,240","1,230,767","262,267","168,489,729","587,353",Report,"512,915","1,230,767","273,692","135,867,425","684,116"
06/01/2021,22,LTC,459,"7,848,341","1,754",319,"4,903,354","1,160",Report,459,"1,754",0,0,0
06/01/2021,22,LTC,"1,799","7,861,010","1,285",900,"4,635,014",733,Admin,"1,799","1,285","1,322","3,175,709",843
05/31/2021,22,LTC,5,"7,859,211","1,340",3,"4,634,114",789,Admin,5,"1,340",2,"3,174,387",858
05/31/2021,22,LTC,818,"7,847,882","1,102",578,"4,903,035","1,180",Report,818,"1,102",0,0,0
05/31/2021,22,US,"191,299","306,283,377","957,777","87,713","172,612,215","457,934",Admin,"191,299","957,778","116,846","141,663,687","551,032"
05/31/2021,22,US,"962,475","295,891,325","1,285,775","493,490","168,227,462","617,091",Report,"962,475","1,285,775","506,414","135,593,733","711,133"
05/30/2021,22,US,"1,223,800","294,928,850","1,315,466","576,929","167,733,972","632,080",Report,"1,223,800","1,315,466","668,571","135,087,319","724,734"
05/30/2021,22,LTC,23,"7,859,206","1,545",15,"4,634,111",893,Admin,23,"1,546",9,"3,174,385",970
05/30/2021,22,US,"374,355","306,092,078","1,114,105","200,227","172,524,502","535,569",Admin,"374,355","1,114,106","197,890","141,546,841","638,063"
05/30/2021,22,LTC,"1,904","7,847,064","1,123","1,110","4,902,457","1,188",Report,"1,904","1,123",0,0,0
05/29/2021,21,LTC,"2,484","7,845,160","1,107","1,848","4,901,347","1,181",Report,"2,484","1,107",0,0,0
05/29/2021,21,US,"745,548","305,717,723","1,152,639","381,210","172,324,275","555,270",Admin,"745,548","1,152,640","404,930","141,348,951","657,770"
05/29/2021,21,US,"1,605,272","293,705,050","1,394,832","768,914","167,157,043","669,464",Report,"1,605,272","1,394,832","886,204","134,418,748","773,183"
05/29/2021,21,LTC,56,"7,859,183","1,554",24,"4,634,096",897,Admin,56,"1,555",32,"3,174,376",975
05/28/2021,21,LTC,"2,106","7,842,676","1,138","1,416","4,899,499","1,163",Report,"2,106","1,138",0,0,0
05/28/2021,21,LTC,"1,656","7,859,127","1,570",723,"4,634,072",901,Admin,"1,656","1,571",999,"3,174,344",987
05/28/2021,21,US,"1,290,762","304,972,175","1,248,530","603,740","171,943,065","605,220",Admin,"1,290,762","1,248,530","753,961","140,944,021","706,123"
05/28/2021,21,US,"1,375,171","292,099,778","1,500,632","669,412","166,388,129","729,970",Report,"1,375,171","1,500,632","762,650","133,532,544","822,042"
05/27/2021,21,LTC,"2,292","7,840,570","1,261","1,430","4,898,083","1,206",Report,"2,292","1,261",0,0,0
05/27/2021,21,US,"1,512,303","290,724,607","1,618,194","643,810","165,718,717","791,557",Report,"1,512,303","1,618,194","919,805","132,769,894","880,675"
05/27/2021,21,LTC,"2,787","7,857,471","1,616","1,769","4,633,349",974,Admin,"2,787","1,616","1,768","3,173,345",976
